Replicate_CellLine	Total Reads	rRNA	miRNA	tRNA	snRNA	Reads After Filtering	Reads Aligned (RSEM)	Reads mapped to more than one location for Star	"Uniquely mapped reads for Star"""
A_KO1	"32,281,056"	"233,093 (0.72 %)"	63 (0.00 %)	0 (0.00 %)	800 (0.00 %)	"32,047,900 (99.28 %)"	"24,746,331 (76.66 %)"	"1,045,139 (3.24 %)"	"27,950,211 (86.58 %)"
A_KO2	"29,627,853"	"165,729 (0.56 %)"	57 (0.00 %)	2 (0.00 %)	652 (0.00 %)	"29,462,065 (99.44 %)"	"23,194,537 (78.29 %)"	"1,001,418 (3.38 %)"	"26,079,544 (88.02 %)"
B_KO2	"35,734,591"	"487,241 (1.36 %)"	104 (0.00 %)	1 (0.00 %)	972 (0.00 %)	"35,247,245 (98.64 %)"	"26,314,588 (73.64 %)"	"1,177,499 (3.30 %)"	"30,744,963 (86.04 %)"
C_KO2	"35,807,537"	"212,583 (0.59 %)"	87 (0.00 %)	0 (0.00 %)	874 (0.00 %)	"35,594,867 (99.41 %)"	"28,507,411 (79.61 %)"	"1,227,269 (3.43 %)"	"31,716,449 (88.57 %)"
B_KO1	"38,645,148"	"238,802 (0.62 %)"	67 (0.00 %)	1 (0.00 %)	918 (0.00 %)	"38,406,278 (99.38 %)"	"29,049,261 (75.17 %)"	"1,306,352 (3.38 %)"	"33,627,157 (87.02 %)"
A_WT	"33,867,860"	"189,384 (0.56 %)"	56 (0.00 %)	1 (0.00 %)	778 (0.00 %)	"33,678,419 (99.44 %)"	"26,004,934 (76.78 %)"	"1,142,698 (3.37 %)"	"29,770,655 (87.90 %)"
B_WT	"33,835,748"	"185,665 (0.55 %)"	66 (0.00 %)	0 (0.00 %)	973 (0.00 %)	"33,650,017 (99.45 %)"	"25,374,476 (74.99 %)"	"1,172,130 (3.46 %)"	"29,822,737 (88.14 %)"
D_WT	"35,904,268"	"156,969 (0.44 %)"	85 (0.00 %)	1 (0.00 %)	896 (0.00 %)	"35,747,213 (99.56 %)"	"28,289,565 (78.79 %)"	"1,236,071 (3.44 %)"	"31,699,446 (88.29 %)"
C_KO1	"37,568,048"	"176,688 (0.47 %)"	123 (0.00 %)	0 (0.00 %)	991 (0.00 %)	"37,391,237 (99.53 %)"	"29,762,340 (79.22 %)"	"1,318,529 (3.51 %)"	"33,279,503 (88.58 %)"
D_KO2	"36,000,214"	"111,729 (0.31 %)"	67 (0.00 %)	2 (0.00 %)	866 (0.00 %)	"35,888,416 (99.69 %)"	"28,048,441 (77.91 %)"	"1,213,936 (3.37 %)"	"31,833,646 (88.43 %)"
D_KO1	"33,584,821"	"156,392 (0.47 %)"	96 (0.00 %)	0 (0.00 %)	900 (0.00 %)	"33,428,333 (99.53 %)"	"26,586,073 (79.16 %)"	"1,183,941 (3.53 %)"	"29,795,513 (88.72 %)"
C_WT	"36,692,933"	"173,039 (0.47 %)"	90 (0.00 %)	0 (0.00 %)	"1,252 (0.00 %)"	"36,519,804 (99.53 %)"	"28,227,162 (76.93 %)"	"1,341,809 (3.66 %)"	"32,834,402 (89.48 %)"
