Replicate_CellLine	Total Reads	Reads After Filtering	Reads Aligned (RSEM)
A_KO1	"32,281,056"	"32,047,900 (99.28 %)"	"24,746,331 (76.66 %)"
A_KO2	"29,627,853"	"29,462,065 (99.44 %)"	"23,194,537 (78.29 %)"
B_KO2	"35,734,591"	"35,247,245 (98.64 %)"	"26,314,588 (73.64 %)"
C_KO2	"35,807,537"	"35,594,867 (99.41 %)"	"28,507,411 (79.61 %)"
B_KO1	"38,645,148"	"38,406,278 (99.38 %)"	"29,049,261 (75.17 %)"
A_WT	"33,867,860"	"33,678,419 (99.44 %)"	"26,004,934 (76.78 %)"
B_WT	"33,835,748"	"33,650,017 (99.45 %)"	"25,374,476 (74.99 %)"
D_WT	"35,904,268"	"35,747,213 (99.56 %)"	"28,289,565 (78.79 %)"
C_KO1	"37,568,048"	"37,391,237 (99.53 %)"	"29,762,340 (79.22 %)"
D_KO2	"36,000,214"	"35,888,416 (99.69 %)"	"28,048,441 (77.91 %)"
D_KO1	"33,584,821"	"33,428,333 (99.53 %)"	"26,586,073 (79.16 %)"
C_WT	"36,692,933"	"36,519,804 (99.53 %)"	"28,227,162 (76.93 %)"
