Libname	Total Reads	rRNA	miRNA	tRNA	snRNA
A_KO1	"32,281,056"	"233,093"	63	0	800
A_KO2	"29,627,853"	"165,729"	57	2	652
A_WT	"33,867,860"	"189,384"	56	1	778
B_KO1	"38,645,148"	"238,802"	67	1	918
B_KO2	"35,734,591"	"487,241"	104	1	972
B_WT	"33,835,748"	"185,665"	66	0	973
C_KO1	"37,568,048"	"176,688"	123	0	991
C_KO2	"35,807,537"	"212,583"	87	0	874
C_WT	"36,692,933"	"173,039"	90	0	"1,252"
D_KO1	"33,584,821"	"156,392"	96	0	900
D_KO2	"36,000,214"	"111,729"	67	2	866
D_WT	"35,904,268"	"156,969"	85	1	896
