ID	A_WT	B_WT	C_WT	D_WT	A_KO1	B_KO1	C_KO1	D_KO1	padj	log2FoldChange	pvalue	foldChange	log10padj
INPP4B	250.091985	250.4925637	182.308343	210.6338046	130.8263014	166.0841273	191.4080756	158.9972723	0.179177157	-0.460647566	0.010254254	0.726660018	0.746717359
ANKRD1	43.63306973	137.5044286	1352.580585	472.4767451	26.60873927	56.29970417	546.7493834	561.5865194	0.896471466	-0.752017172	0.544917084	0.593772766	0.047463529
DIRC3	12.77065455	10.65925803	4.603746035	26.08767304	13.30436963	7.506627223	11.90576547	15.28819926	0.95743038	-0.17598911	0.776799054	0.885160446	0.018892796
HECTD3	2322.130686	2466.552308	2133.375913	2201.992847	2024.481579	2292.336288	2072.51902	2095.502512	0.63617341	-0.104137974	0.159824993	0.930360677	0.196424487
CCDC155	39.37618488	50.09851274	95.75791753	36.71598428	28.8261342	37.53313612	41.21226508	28.53797195	0.485764378	-0.705694348	0.073966883	0.613147319	0.313574336
RILPL2	14.89909698	13.85703544	34.98846986	30.9187236	27.71743673	19.70489646	39.38060886	45.86459777	0.777166035	0.479994328	0.303637128	1.394738183	0.109486188
FH	3520.443772	3260.667031	3364.417602	3365.309822	3404.809928	3353.585712	3373.910768	3252.309589	0.955809465	-0.01352162	0.766967867	0.990671312	0.019628673
DNAJC1	645.9822762	447.6888372	488.9178289	605.8137406	767.2186488	684.9797341	569.6450862	552.4135998	0.637455462	0.233886234	0.16076541	1.175998511	0.195550153
STARD7-AS1	130.8992092	92.73554485	109.5691556	108.2155326	154.1089482	136.9959468	119.0576547	115.1711011	0.657395115	0.24950823	0.176209438	1.18880182	0.182173527
KIF16B	183.0460486	211.053309	251.3645335	171.9854	219.5220989	164.2074705	195.9872162	223.2077092	0.97751315	-0.028331018	0.874941711	0.980553996	0.009877392
EID2B	241.5782153	232.371825	224.6628065	222.2283259	232.8264686	258.0403108	222.5462314	231.3614154	0.947836418	0.038252903	0.732228441	1.026869539	0.023266609
LOC653513	22.34864547	45.83480952	50.64120638	42.51324496	32.15222661	36.59480771	42.12809319	37.7108915	0.943253423	-0.120182453	0.711465851	0.920071285	0.02537161
MYO3B	15.96331819	103.3948029	133.508635	63.76986743	23.28264686	41.28644973	80.59287394	99.88290182	0.89916144	-0.369785036	0.558777899	0.7738978	0.046162326
LINC01530	40.44040609	40.50518051	46.03746035	30.9187236	35.47831902	39.40979292	46.70723376	44.84538449	0.955809465	0.078320687	0.76749694	1.055788375	0.019628673
VIPR2	61.72483035	51.16443854	55.24495242	36.71598428	42.13050384	37.53313612	23.81153094	32.61482508	0.409098444	-0.593577368	0.051904497	0.662697615	0.388172173
RUVBL1	1473.94638	1472.043534	1941.860078	1598.111526	1444.632803	1412.184246	1743.736727	1873.314016	0.994795928	-0.002938186	0.982665518	0.997965477	0.002266001
SRP14-AS1	128.7707668	153.4933156	168.4971049	136.2356259	79.8262178	98.5244823	126.3842796	100.9021151	0.142904663	-0.530293379	0.006884634	0.692413914	0.8449536
ATP5C1	4193.031579	3839.464742	3544.884447	4111.224029	4131.006771	4057.332014	4072.687618	4015.700338	0.846228656	0.053254345	0.42885832	1.037602849	0.072512272
PAK6	40.44040609	57.55999336	64.45244449	46.37808541	42.13050384	54.42304737	76.92956149	41.78774464	0.977986023	0.046853679	0.877890475	1.033009613	0.009667352
DEF8	2300.846262	2253.367147	1983.293792	2175.905174	2150.873091	2426.51725	2018.485161	1998.67725	0.971227115	-0.019447516	0.828504947	0.986610457	0.012679201
TIGD3	147.9267486	128.9770222	97.59941594	89.85754047	127.500209	135.11929	129.1317639	94.7868354	0.953856558	0.070786462	0.756022643	1.050289076	0.02051693
GNL1	2826.571541	2503.859711	2656.361462	3062.886057	2694.134851	2736.165623	2915.996712	2952.660883	0.938720471	0.032175486	0.690483911	1.022552904	0.027463711
IKBKB	306.4957093	331.5029247	425.3861336	296.6265046	302.6744091	355.6264647	331.5297769	343.4748767	0.972710488	-0.029144242	0.843188426	0.980001429	0.012016402
BLOC1S1	634.2758429	550.0177143	554.2910226	603.8813204	638.6097424	609.9134619	589.7933047	566.6825858	0.930440671	0.037882439	0.666687952	1.026605887	0.031311314
POMP	2267.855405	2055.104948	1890.298122	2060.92617	2287.242879	2188.181836	2193.40833	2193.346987	0.633119586	0.099342248	0.157633877	1.071284932	0.198514251
SHC3	699.1933368	693.9176977	797.3688132	1157.519715	882.5231856	885.7820123	1154.85925	1224.075154	0.575109406	0.308624504	0.121574796	1.2385263	0.240249529
KLHL7-AS1	31.92663639	58.62591916	54.32420321	45.41187529	37.69571396	44.10143494	35.7172964	61.15279703	0.955809465	-0.09288628	0.767709032	0.937645003	0.019628673
MLXIPL	57.46794549	73.5488804	95.75791753	56.04018653	52.10878106	65.6829882	59.52882734	77.46020957	0.903420788	-0.151972018	0.56941175	0.900019386	0.04410992
MXD3	284.1470638	283.5362636	230.1873017	208.7013843	374.7397446	290.8818049	295.8124805	124.3440206	0.945647896	0.109464331	0.721531504	1.078827596	0.024270539
BMP8B	57.46794549	70.35110299	45.11671114	43.47945507	51.00008359	62.86800299	42.12809319	36.69167822	0.907251047	-0.163383179	0.578234025	0.892928659	0.042272522
ZNF211	658.7529308	656.6102946	604.0114798	606.7799507	589.8270537	696.2396749	591.624961	570.759439	0.924800212	-0.043695391	0.649046605	0.970166728	0.033952079
SERPINA5	46.82573337	90.60369325	157.4481144	101.4520618	28.8261342	59.11468938	142.8691856	137.5937933	0.972710488	-0.105295988	0.843255424	0.929614201	0.012016402
TMEM200C	491.6702003	415.7110631	458.5331051	406.7744574	454.5659624	444.767663	402.9643697	464.7612574	0.99227853	-0.005231507	0.959232524	0.996380363	0.003366405
E2F6	972.6981885	999.8384031	825.9120387	1000.027467	1110.914864	955.2183141	1004.66344	962.13734	0.817612544	0.086439479	0.370844179	1.061746593	0.087452454
DNAJC25	233.0644456	215.3170122	260.5720256	224.1607461	231.7177711	242.0887279	242.6944499	287.418146	0.842067111	0.104282154	0.418926503	1.074959386	0.074653295
CEP135	277.7617366	278.2066346	326.8659685	328.5114383	381.3919295	291.8201333	373.6578701	396.4739674	0.484326675	0.250660629	0.07338188	1.189751793	0.314861611
ALDOA	11932.04824	12745.27483	13748.62716	12475.70497	12453.99867	11845.45776	13415.96603	13083.64092	0.993290377	-0.002958322	0.965324394	0.997951548	0.002923772
MGAT4B	2841.470638	2857.747078	2768.692865	2660.94265	2712.982708	2945.412857	2894.932665	2589.820954	0.993629835	0.002389188	0.969848906	1.001657431	0.002775377
ZNF658	288.4039487	288.8658926	332.3904637	318.8493372	345.9136104	311.5250298	297.6441367	327.1674641	0.909794014	0.058457964	0.588406096	1.041352108	0.041056925
SEMA7A	916.2944643	984.9154419	1193.290972	869.5891014	872.5449084	840.742249	913.0806286	910.1574625	0.625387827	-0.165136605	0.151503609	0.891844069	0.203850577
LIPE-AS1	42.56884851	45.83480952	64.45244449	42.51324496	43.23920131	31.9031657	36.63312452	37.7108915	0.625781318	-0.393282741	0.151791627	0.761395136	0.203577406
TEX15	54.27528186	55.42814175	156.5273652	90.82375059	129.7176039	93.83284029	152.0274667	172.247045	0.5538778	0.61425641	0.108669506	1.530768809	0.256586041
LRRC37A	130.8992092	178.0096091	109.5691556	173.9178203	137.4784862	211.1238906	117.2259985	182.4391778	0.916504054	0.131140142	0.610492253	1.095158849	0.03786561
CCDC22	499.1197488	461.5458727	464.9783495	466.6794844	477.8486093	464.4725594	441.4291504	443.3577785	0.893186381	-0.050897417	0.532711976	0.965335662	0.049057907
RSRP1	905.6522521	1240.737635	1301.939379	846.4000587	766.1099513	1038.729542	946.9662688	868.3697178	0.628848919	-0.246197706	0.154172947	0.843115562	0.201453681
NARF	2607.341971	2745.824868	2339.623735	2420.356332	2173.04704	2464.050386	2345.435797	2266.730343	0.533159983	-0.128110065	0.095702822	0.915029356	0.273142454
P4HA1	409.7251669	799.4443522	1154.619506	571.9963867	620.8705829	452.2742902	808.6762237	828.6203998	0.944055562	-0.115526718	0.713841289	0.923045252	0.025002445
BRMS1L	1046.129452	904.9710067	785.3990735	932.3927587	996.719025	952.4033289	850.8043169	884.6771304	0.991251048	0.006389737	0.953017364	1.004438851	0.003816341
COA5	683.2300187	677.9288106	654.6526862	629.0027833	610.8923056	645.5699412	562.3184613	563.624946	0.479145011	-0.15034488	0.071605285	0.901035042	0.319533029
NHSL2	51.08261822	75.68073201	96.67866673	79.22922924	72.06533551	57.23803258	66.85545224	110.0750347	0.993290377	0.012915673	0.965762275	1.008992656	0.002923772
SPPL2A	399.0829548	374.1399568	400.525905	354.5991113	459.0007523	366.8864055	387.3952918	321.0521844	0.993754546	0.004544817	0.971902746	1.003155194	0.002720872
MRPL47	1025.909249	938.0147066	928.1152006	1045.439342	1067.675663	1035.914557	998.2526431	1011.059578	0.82669586	0.06262753	0.382296782	1.044366097	0.082654237
RTN4	35665.24551	32675.95549	25103.30638	33086.8991	31845.11741	31811.20951	30374.35519	31480.4407	0.984963098	-0.011658493	0.914567706	0.991951512	0.00658004
RP9P	266.0553032	267.5473765	190.5950858	228.9917967	261.6526028	271.1769084	181.3339664	211.996363	0.971227115	-0.040961636	0.828018405	0.972006835	0.012679201
OSMR	7.44954849	7.46148062	44.19596193	20.29041237	21.06525192	10.32161243	52.20220244	56.05673061	0.760058455	0.8092159	0.278484946	1.752258836	0.119153006
PWP1	1813.432947	1657.514624	1398.618045	1594.246686	1690.763641	1694.621096	1615.520791	1590.991936	0.95345696	0.028826929	0.752579905	1.020182267	0.020698907
MIR17HG	126.6423243	136.4385028	137.1916318	79.22922924	90.91319249	161.3924853	107.1518892	84.59470256	0.941371665	-0.108305911	0.705165404	0.92767675	0.026238878
ARL2BP	2450.901453	2219.257522	1684.971049	2132.425719	2272.829812	2215.393359	1987.347005	1820.314925	0.968033898	-0.032733679	0.804285967	0.977566208	0.014109435
APOB	3.192663639	7.46148062	13.8112381	21.25662248	9.978277224	9.383284029	20.14821848	29.55718523	0.831718625	0.588343875	0.394164079	1.503519809	0.080023573
ARFGEF1	3560.884178	3480.247746	3007.16691	3718.942724	3668.679926	3570.339573	3458.166954	3912.759797	0.782066094	0.085756687	0.310042963	1.061244213	0.106756542
SOX10	7.44954849	14.92296124	18.41498414	14.49315169	6.652184816	6.56829882	13.73742169	12.23055941	1	-0.496169351	0.353840425	0.708986788	NA
THRIL	151.1194122	146.031835	132.5878858	147.8301472	198.456847	167.9607841	173.0915133	150.843566	0.492704209	0.256911859	0.077295681	1.1949182	0.307413728
WWC3	895.01004	1036.07988	1356.263582	863.7918407	1210.697637	1019.962974	1000.084299	991.6945252	0.97890832	0.023882699	0.881444259	1.016692006	0.00925798
ZNF606	1064.221213	931.6191517	807.4970545	940.1224396	889.1753704	871.7070863	839.8143796	788.8710817	0.646011419	-0.142661159	0.166432326	0.905846711	0.189759805
MTRNR2L8	1558.019856	2028.456803	1835.053169	1225.154423	1184.088897	1994.886185	1609.109994	1419.764104	0.919233615	-0.098183792	0.62156359	0.934208326	0.036574103
DLG1	1065.285434	1266.319854	1626.0431	1482.166313	1128.654024	1189.800415	1460.74584	1714.316743	0.989680139	0.013951165	0.937503414	1.009717118	0.004505145
ABCA10	14.89909698	19.18666445	11.04899048	15.4593618	21.06525192	19.70489646	12.82159358	30.57639852	0.759546457	0.47417287	0.277752929	1.389121577	0.119445658
PABPC1L	200.073588	297.393299	351.7261971	233.8228473	206.2177293	259.9169676	191.4080756	202.8234435	0.565487893	-0.332605478	0.11527335	0.794101058	0.247576689
SPDYE5	31.92663639	46.90073533	30.38472383	36.71598428	33.26092408	39.40979292	32.96981207	39.74931807	0.996385739	-0.001642979	0.991359996	0.998861822	0.001572497
LIMS1	851.3769703	835.6858295	1265.10941	1169.114236	1068.78436	913.9318644	1260.179483	1328.034909	0.841088754	0.148888134	0.413452346	1.108714671	0.075158174
AP1G1	4021.691963	3804.289191	3094.638085	3933.441369	4339.441895	4134.274943	3516.779954	3836.3188	0.836355891	0.091536032	0.402971832	1.065504017	0.07760888
TMEM194B	74.4954849	65.02147398	75.50143497	62.80365732	110.8697469	70.37463022	71.43459281	63.1912236	0.864163151	0.180588149	0.464509494	1.133345827	0.063404256
PAM16	233.0644456	206.7896058	234.7910478	258.9443102	258.3265104	228.9521303	256.4318716	259.8993874	0.83382692	0.102313733	0.398533358	1.073493706	0.078924088
ABHD17C	534.2390489	470.0732791	463.1368511	511.1251496	508.8921384	624.9267163	568.7292581	617.64325	0.299134883	0.231077552	0.027391037	1.17371127	0.52413294
PVT1	17.02753941	20.25259026	31.30547304	23.1890427	12.19567216	18.76656806	36.63312452	43.82617121	0.903120838	0.279437599	0.568363424	1.213721651	0.044254137
BCL2L13	1603.781368	1715.074617	1733.770757	1602.942577	1432.43713	1498.510459	1447.924247	1462.571062	0.03550773	-0.188181369	0.000936831	0.877711449	1.449677088
ADRA2A	135.156094	81.01036102	72.73918735	136.2356259	421.3050384	360.3181067	263.7584965	310.8600516	6.25E-08	1.673788395	3.48E-10	3.190512962	7.204063906
AGAP1	9166.137306	7970.993154	5673.656613	6777.96394	8824.123159	7987.989694	7176.429093	6490.350192	0.962429254	0.04281311	0.789535536	1.030120501	0.016631184
MED16	1526.093219	1520.010195	1472.277982	1376.84941	1353.71961	1451.594039	1436.018481	1416.706465	0.802913087	-0.058292351	0.347139077	0.960400227	0.095331463
KIF20A	1247.267261	1356.923547	1275.237652	1154.621085	2575.504221	2059.630844	1331.614076	1050.808896	0.425124323	0.479100731	0.057002354	1.393874558	0.371484046
UST	271.3764093	268.6133023	395.0014098	209.6675944	352.5657953	275.8685504	314.1290427	343.4748767	0.842067111	0.166521105	0.419833854	1.122348803	0.074653295
